Id,Label,kind,highlight
Home as a place of production,Home as a place of production,overlay,home
Acceleration,Acceleration,predicament,d2
Access to food,Access to food,predicament,d1
Access to water,Access to water,predicament,d2
Addiction,Addiction,predicament,d2
Advertising,Advertising,predicament,d2
Agriculture,Agriculture,predicament,d1
Air travel,Air travel,predicament,d2
Algorithmic curation,Algorithmic curation,predicament,d2
"Ancient sunlight, old sunlight, current sunlight","Ancient sunlight, old sunlight, current sunlight",predicament,d2
Animal views,Animal views,predicament,d2
Apathy,Apathy,predicament,d2
Architecture,Architecture,predicament,d2
Art,Art,predicament,d2
Artificial intelligence,Artificial intelligence,predicament,d2
Attention hijacking,Attention hijacking,predicament,base
Avoiding radical options,Avoiding radical options,predicament,d2
Avoiding uncertainty,Avoiding uncertainty,predicament,d2
Being reasonable,Being reasonable,predicament,d2
Biased evidence selection,Biased evidence selection,predicament,d2
Big tech,Big tech,predicament,d2
Biodiversity loss,Biodiversity loss,predicament,d2
Blaming the people,Blaming the people,predicament,d2
Breakdown of information infrastructure,Breakdown of information infrastructure,predicament,d2
Bullshit jobs,Bullshit jobs,predicament,d1
Bureaucracy,Bureaucracy,predicament,d2
Business-as-usual narrative,Business-as-usual narrative,predicament,d2
Capitalism,Capitalism,predicament,d1
Car-centric design,Car-centric design,predicament,d2
Carbon fundamentalism,Carbon fundamentalism,predicament,d2
Carelessness,Carelessness,predicament,d2
Cars,Cars,predicament,d1
Catastrophic risks,Catastrophic risks,predicament,d2
Centralisation,Centralisation,predicament,d1
Chasing happiness,Chasing happiness,predicament,d2
Climate change,Climate change,predicament,d2
Climate footprints,Climate footprints,predicament,d2
Clock time,Clock time,predicament,d2
Cognitive dissonance,Cognitive dissonance,predicament,d2
Colonialist narratives,Colonialist narratives,predicament,d2
Complexity mismatch,Complexity mismatch,predicament,d2
Constant connectivity,Constant connectivity,predicament,d2
Consumerism,Consumerism,predicament,d1
Cost of living,Cost of living,predicament,d2
Craft,Craft,predicament,d1
Culture wars,Culture wars,predicament,d2
Data privacy,Data privacy,predicament,d2
Dealing with death,Dealing with death,predicament,d2
Debt,Debt,predicament,d2
Deforestation,Deforestation,predicament,d2
Delusional domination of nature,Delusional domination of nature,predicament,d2
Democracy failing,Democracy failing,predicament,d2
Desertification,Desertification,predicament,d2
Despair,Despair,predicament,d2
Directionlessness,Directionlessness,predicament,d2
Discrimination,Discrimination,predicament,d2
Disinformation,Disinformation,predicament,d2
Dispositionism,Dispositionism,predicament,base
Distractions,Distractions,predicament,d2
Dogmatism,Dogmatism,predicament,d2
Ecological crisis,Ecological crisis,predicament,d2
Educational crisis,Educational crisis,predicament,d1
Educational systems,Educational systems,predicament,d2
Ego,Ego,predicament,d2
Elderly care,Elderly care,predicament,d2
Electric vehicle solutions,Electric vehicle solutions,predicament,d2
Emotional crisis,Emotional crisis,predicament,d2
